"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"34054","finn-b-F5_DEPPER","Dependent personality disorder",411,"public",2021,"NA","NA","Males and Females",NA,"European","NA",NA,"HG19/GRCh37",212179,"Binary","NA","NA","F5_DEPPER",1,16380428,NA,NA,NA,0,NA
"34055","eqtl-a-ENSG00000175538","ENSG00000175538",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17599,NA,NA,NA,0,NA
"34056","eqtl-a-ENSG00000235231","ENSG00000235231",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",8269,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17943,NA,NA,NA,0,NA
"34057","ukb-e-4990_AFR","FI6 : conditional arithmetic",950,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"African American or Afro-Caribbean","NA",2027,"HG19/GRCh37",1077,"Binary","NA","NA","NA",1,15538956,NA,NA,NA,0,NA
"34058","eqtl-a-ENSG00000180066","ENSG00000180066",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31470,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,21446,NA,NA,NA,0,NA
"34059","eqtl-a-ENSG00000143507","ENSG00000143507",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31430,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18596,NA,NA,NA,0,NA
"34060","finn-b-C3_LYMPHNODES_SECONDARY_NAS_EXALLC","Secondary and unspecified malignant neoplasm of lymph nodes (all cancers excluded)",995,"public",2021,"NA","NA","Males and Females",NA,"European","NA",NA,"HG19/GRCh37",174006,"Binary","NA","NA","C3_LYMPHNODES_SECONDARY_NAS_EXALLC",1,16380304,NA,NA,NA,0,NA
"34061","met-a-409","Docosahexaenoate (DHA; 22:6n3)",NA,"public",2014,"Shin","NA","Males and Females",24816252,"European","log10 units",7818,"HG19/GRCh37",NA,"Metabolites","Fatty acid","NA",NA,1,2545635,NA,NA,NA,1,0.1873395936
"34062","eqtl-a-ENSG00000115084","ENSG00000115084",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31470,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17807,NA,NA,NA,0,NA
"34063","eqtl-a-ENSG00000228340","ENSG00000228340",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",17261,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,19180,NA,NA,NA,0,NA
"34064","eqtl-a-ENSG00000177425","ENSG00000177425",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31644,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,16323,NA,NA,NA,0,NA
"34065","eqtl-a-ENSG00000158864","ENSG00000158864",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31146,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18590,NA,NA,NA,0,NA
"34066","ukb-e-6020_p4_AFR","Completion status of test",221,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"African American or Afro-Caribbean","NA",2044,"HG19/GRCh37",1823,"Binary","NA","NA","NA",1,15275623,NA,NA,NA,0,NA
"34067","eqtl-a-ENSG00000121039","ENSG00000121039",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18597,NA,NA,NA,0,NA
"34068","ubm-a-3097","a2009s rh G temp sup-G T transv thickness",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",8411,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34069","eqtl-a-ENSG00000163125","ENSG00000163125",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",14263,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,15026,NA,NA,NA,0,NA
"34070","met-d-IDL_PL_pct","Phospholipids to total lipids ratio in IDL",NA,"public",2020,"Borges CM","NA","Males and Females",NA,"European","NA",115078,"HG19/GRCh37",NA,"Continuous","NA","NA","NA",1,12321875,NA,NA,NA,0,NA
"34071","eqtl-a-ENSG00000165949","ENSG00000165949",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31470,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,20267,NA,NA,NA,0,NA
"34072","ukb-e-3773_AFR","Knee pain for 3+ months",1349,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"African American or Afro-Caribbean","NA",1799,"HG19/GRCh37",450,"Binary","NA","NA","NA",1,15483448,NA,NA,NA,0,NA
"34073","ukb-b-5118","Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse",2317,"public",2018,"Ben Elsworth","MRC-IEU","Males and Females",NA,"European","SD",463010,"HG19/GRCh37",460693,"Binary","NA","NA","41202#N812: Output from GWAS pipeline using Phesant derived variables from UKBiobank",1,9851867,NA,NA,NA,1,NA
"34074","eqtl-a-ENSG00000103365","ENSG00000103365",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",30972,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18072,NA,NA,NA,0,NA
"34075","eqtl-a-ENSG00000124920","ENSG00000124920",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",25690,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17465,NA,NA,NA,0,NA
"34076","prot-c-3003_29_2","NKp30",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Natural cytotoxicity triggering receptor 3; chr=6; start=31571039; end=31669285; entrez=259197; uniprot=O14931",1,501428,NA,NA,NA,0,NA
